\,watt-median,L1-dcache-loads:u,L1-dcache-loads:u-square,L1-dcache-stores:u,L1-dcache-stores:u-square,L1-icache-load-misses:u,L1-icache-load-misses:u-square,LLC-loads:u,LLC-loads:u-square,LLC-load-misses:u,LLC-load-misses:u-square,LLC-stores:u,LLC-stores:u-square,LLC-store-misses:u,LLC-store-misses:u-square,dTLB-loads:u,dTLB-loads:u-square,dTLB-load-misses:u,dTLB-load-misses:u-square,dTLB-stores:u,dTLB-stores:u-square,dTLB-store-misses:u,dTLB-store-misses:u-square,iTLB-load-misses:u,iTLB-load-misses:u-square,branch-loads:u,branch-loads:u-square,branch-load-misses:u,branch-load-misses:u-square,L1-dcache-load-misses:u,L1-dcache-load-misses:u-square,node-loads:u,node-loads:u-square,branch-instructions:u,branch-instructions:u-square,branch-misses:u,branch-misses:u-square,bus-cycles:u,bus-cycles:u-square,cache-misses:u,cache-misses:u-square,cache-references:u,cache-references:u-square,cpu-cycles:u,cpu-cycles:u-square,instructions:u,instructions:u-square,mem-stores:u,mem-stores:u-square,ref-cycles:u,ref-cycles:u-square,mem-loads-aux:u,mem-loads-aux:u-square,slots:u,slots:u-square,topdown-br-mispredict:u,topdown-br-mispredict:u-square,topdown-fetch-lat:u,topdown-fetch-lat:u-square
stress-ng --cpu 1 --cpu-method fletcher16 --timeout 10s,8.465,341132225.821588,1.163711954939909e+17,2054067.51459364,4219193354508.894,23854.7923956624,569051120.2401527,97.1672707643245,9441.478507787551,9.12672802228646,83.29716439278893,20.3781377886136,415.2684997317216,3.28103092977542,10.765163962142958,342243195.590788,1.1713040492819437e+17,81.8074280616434,6692.455286060961,2060271.50651594,4244718680561.461,65.1280778049731,4241.66651857063,119.240168410479,14218.217762559394,319755562.986779,1.0224362006099198e+17,595661.456693113,354812570989.7613,5363.7640578207,28769964.86796918,5.16950825492563,26.723815597744235,319679805.124528,1.021951778044562e+17,595734.500965587,354899595640.717,3470591615.03637,1.2045006158360758e+19,967.26597334406,935603.4631892317,2588.94248210022,6702623.175623247,3468000550.11527,1.2027027815599817e+19,7635720250.7416,5.830422374758536e+19,1922859.04358691,3697386901503.9663,3472815988.43937,1.206045088956012e+19,479.765393880086,230174.83316491405,19356905964.3135,3.746898085112755e+20,206664.153155309,42710072199.40102,506058.957013807,256095667973.9022
stress-ng --cpu 1 --cpu-method float --timeout 10s,9.345,1076136798.63782,1.158070409382456e+18,274540196.511454,7.537231950054778e+16,32120.1916159727,1031706709.446803,168.052049106059,28241.491208745265,36.9175521202788,1362.9056545535016,5.55587102525271,30.867702849242598,1.29133088406699,1.6675354521452337,892582873.16106,7.967041854604529e+17,76.3972738244878,5836.543447813769,227716713.519291,5.1854901616026856e+16,62.783064763485,3941.713221095952,1344.52135252806,1807737.667403884,593700859.221583,3.5248071024044595e+17,11166362.0282133,124687640945123.84,6383.64370517444,40750906.954613246,1.98816452915112,3.952798194974695,595243483.068672,3.5431480413572435e+17,11313849.8342928,128003198072927.2,3462328879.94526,1.1987721272902998e+19,955.312406219863,912621.7934775845,2440.79839893994,5957496.824267774,2866684073.15381,8.217877575273719e+18,3194892997.97839,1.0207341268531345e+19,227497983.115389,5.1755332321569816e+16,3467327540.68984,1.2022360274426253e+19,533.136282003821,284234.2951888577,17225804939.217,2.967283558039528e+20,1823921645.25824,3.326690168041525e+18,540857750.701512,2.925271064938989e+17
stress-ng --cpu 1 --cpu-method floatconversion --timeout 10s,9.385,819742147.449279,6.719771883047555e+17,409902024.321073,1.680196695425135e+17,23760.5819186563,564565253.1131766,90.0197557454146,8103.556424464105,47.2114310580582,2228.9192225497827,24.7550079291569,612.810417572621,1.78979273340206,3.2033580285388177,990888025.363987,9.818590788097413e+17,75.6492794537178,5722.8134818666895,495479540.920921,2.4549997547120666e+17,63.641845416558,4050.2844880250645,520.34560818143,270759.55195370223,495638195.359396,2.456572206991188e+17,9570.89699890532,91602069.36365487,5203.43091401554,27075693.2769326,1.98584881031946,3.9435954974472147,494359026.217913,2.4439084680312317e+17,9981.5654432516,99631648.69791451,3472405400.62596,1.2057599266296332e+19,903.748277685657,816760.9494197913,2569.88818721883,6604325.294806884,3469754700.29764,1.2039197680237564e+19,8952169571.51163,8.01413400370987e+19,471254028.065546,2.220803589680024e+17,3468644887.18374,1.2031497353385902e+19,444.043771385133,197174.87090593227,20816263179.4153,4.3331681275468114e+20,210790.6174253,44432684394.53919,621163.420297375,385843994715.53326
stress-ng --cpu 1 --cpu-method gamma --timeout 10s,8.515,49909471.0270185,2490955298196799.5,60113.6603550359,3613652161.280615,27204.3653891294,740077496.2252617,121.954482128541,14872.895711240626,45.7904755302074,2096.767649282523,33.4878067381,1121.4332001283356,0.298157380190805,0.08889782336224425,46301746.2330792,2143851704232464.0,78.5781424115785,6174.524464854311,60096.0969539065,3611540869.09333,61.6157130636031,3796.49609633627,399.828953371443,159863.19195410353,138250711.313486,1.911325917868485e+16,2687.08745812004,7220439.007586018,5906.66710830644,34888716.328349166,4.37303786015215,19.12346012632409,138725538.612798,1.924477506341091e+16,2789.30384932194,7780215.963842193,3463495829.41436,1.1995803360370665e+19,913.163094936213,833866.8379534832,2401.074354258,5765158.054675471,3460715706.16714,1.1976553198911926e+19,1497244702.38223,2.2417416988116526e+18,60083.437673636,3610019482.6817017,3466271464.57184,1.2015037866105008e+19,479.813802033875,230221.28462220257,20815870692.5988,4.3330047269099366e+20,213310.24061625,45501258751.76247,11182951370.0954,1.2505840134591858e+20
stress-ng --cpu 1 --cpu-method gcd --timeout 10s,8.43,119373.302702628,14249985398.133255,68763.2776385337,4728388351.5940695,27022.9198683459,730238198.2110436,216.144479961334,46718.43621775552,42.2491382679741,1784.9896843863933,14.2179218743975,202.14930242647094,1.98898281074827,3.956052621452089,120046.441666217,14411148156.72044,74.9313220008464,5614.703016794527,69467.912592379,4825790879.942409,60.3448238872075,3641.4977699780884,152.457099924077,23243.16731726,294728205.175546,8.686471492599874e+16,19817774.371601,392744181043685.44,5929.87907687912,35163465.86640876,0.394378116703656,0.15553409893472253,244609861.423623,5.983398430568405e+16,16379769.7090316,268296855720909.16,3461070707.1794,1.1979010440095312e+19,929.008458611161,863056.7161710853,2588.04403453429,6697971.924688525,3458467605.66425,1.196099817942901e+19,2072719973.10348,4.2961680869020913e+18,68828.7161962176,4737392173.219467,3464024707.83025,1.1999467176458447e+19,461.681449080478,213149.76042505,17245530784.7354,2.9740833204725645e+20,5274752094.4841,2.7823009658264404e+19,270985783.089386,7.343329463656774e+16
stress-ng --cpu 1 --cpu-method gray --timeout 10s,9.085,675914.83501879,456860864198.4781,320971.097943687,103022445715.1759,24729.5174521399,611549033.4156919,181.061236957027,32783.17152840868,29.2493568242833,855.524874634248,6.7435841393822,45.47592704492717,2.58152503088662,6.664271485094164,587529.418980493,345190818167.55566,77.0053060639763,5929.817162006666,280298.982135816,78567519386.3745,62.7907174857971,3942.674202381186,104.57672998027,10936.292453366303,362741383.891722,1.3158131158768165e+17,62307.7780504875,3882259205.5888114,6139.75782823239,37696626.18934092,2.6831467573681,7.19927652157495,360284975.305935,1.298052634311982e+17,46079.964836429,2123363159.3265328,3469311452.62844,1.2036121955338856e+19,927.936787687693,861066.6819441547,2349.7264030131,5521214.169016881,3466565113.42925,1.2017073685644747e+19,10843441431.1069,1.1758022206984564e+20,319864.839860584,102313515779.03705,3462462973.88432,1.1988649845519847e+19,495.85206838203,245869.27371873733,20802495625.3737,4.327438242436919e+20,210829.477908706,44449068755.25755,523275.229294503,273816965593.2147
stress-ng --cpu 1 --cpu-method hamming --timeout 10s,9.59,348588770.245632,1.2151413074136202e+17,348545098.644132,1.2148368578884771e+17,27696.6631123446,767105147.55871,206.439205827106,42617.14570252624,13.4024145758573,179.6247164631522,12.3249149213118,151.90352781757426,2.28681149530778,5.229506815071804,348186242.555081,1.2123365950462571e+17,76.304506423554,5822.377700542194,348142562.5643,1.2120324386883754e+17,59.039627301051,3485.6775918470066,594.777405402898,353760.1619778033,772605366.924052,5.969190529998491e+17,3347.12691984537,11203258.617553554,5253.89433791708,27603405.713997148,4.96867638775592,24.68774504624322,778754089.039751,6.064579311961325e+17,4266.4243261042,18202376.530373678,3472113396.81853,1.205557144036671e+19,889.065092407632,790436.7385377913,2624.86003005921,6889890.177402438,3010826014.72405,9.065073290939105e+18,17234950797.8404,2.9704352900397944e+20,307826579.065289,9.475720277903864e+16,3463981732.16909,1.1999169440801167e+19,474.626748893028,225270.55076476544,20803890359.1705,4.328018540763873e+20,206246.930285789,42537796252.31111,515487.206498789,265727060063.92514
stress-ng --cpu 1 --cpu-method hanoi --timeout 10s,10.55,2553565316.45535,6.520695825403711e+18,2552922191.18004,6.517411714219496e+18,25653.0594923755,658079461.3193568,186.943383051508,34947.828466742845,16.198301094127,262.384958335996,5.86556089648976,34.40480463042976,1.69089646849553,2.8591308671706552,2566739607.06517,6.588152210477062e+18,77.6904760219999,6035.8100645249415,2566093426.72204,6.584835474666063e+18,63.081301731444,3979.25062813348,181.984342656263,33118.30097203215,2344675730.4679,5.497504281045179e+18,71108.5031992206,5056419227.233567,5630.7758241495,31705636.381826483,4.07687053004991,16.620873318789435,2827393322.05339,7.994152997592105e+18,100179.725440803,10035977389.394672,3463928627.25232,1.1998801534698142e+19,908.810488017901,825936.5031313354,2345.86101142426,5503063.884920453,3461164677.37825,1.1979660923930886e+19,13332855080.8974,1.777650246082116e+20,3085044771.24482,9.517501240585005e+18,3469505922.97584,1.2037471349564436e+19,507.315020786865,257368.53031597723,17220925642.4237,2.965602799818861e+20,209861.338543154,44041781415.1243,3376792763.91436,1.1402729370424383e+19
stress-ng --cpu 1 --cpu-method hyperbolic --timeout 10s,9.495,844605261.026065,7.133580469529074e+17,283945125.911592,8.062483452894984e+16,56461.6676727701,3187919916.3903317,206.657504231184,42707.32405506183,58.0655822002326,3371.6118362519687,6.64722871361976,44.185649571171005,0.198639343344223,0.03945758872422411,1020506631.4147,1.0414337847613784e+18,81.2759477486867,6605.779682447252,343075563.681924,1.1770084239566987e+17,56.8528999171061,3232.252228984483,4765.12731946966,22706438.370756105,698058790.57431,4.872860750980683e+17,24443.754278519,597497123.228616,9750.32745247449,95068885.43047768,2.38296172650998,5.678506590011425,697706307.553882,4.867940916004722e+17,21976.3287972839,482959027.4063296,3471085512.39822,1.2048434634380814e+19,992.329147792825,984717.1375592343,2492.13928539147,6210758.217791506,2873934594.72012,8.2595000547291e+18,4602185895.67709,2.1180115018369135e+19,343235803.15836,1.1781081656976445e+17,3471132928.29477,1.2048763805892223e+19,413.007644968813,170575.31480268508,17191615123.9219,2.9555163056906024e+20,1213610226.14413,1.4728497810016064e+18,2292458085.19186,5.25536407236153e+18
stress-ng --cpu 1 --cpu-method idct --timeout 10s,9.505,1691692967.44858,2.8618250961149824e+18,571442396.923759,3.265464130019709e+17,45502.4931439271,2070476882.313133,208.507823148758,43475.51231423375,14.3175191515624,204.99135465535613,14.822834616452,219.71642606668775,1.69141585997464,2.860887611373751,1694546821.39435,2.871488929897695e+18,74.9603958820779,5619.060950797842,572406551.347089,3.276492600250677e+17,63.1497953776956,3987.896656244824,6939.9279549509,48162600.01990898,753287623.995632,5.674422444649847e+17,1074894.60100683,1155398403273.6326,7358.29764239823,54144544.19412335,4.56555513117889,20.84429365583389,750766560.655506,5.636504285984976e+17,1069530.84057716,1143896218945.6865,3469308611.56951,1.2036102242310361e+19,917.444826496898,841705.0096659233,2418.1719211179,5847555.440083036,2872274828.06922,8.249962687960068e+18,6403022700.61237,4.099869970455732e+19,570962028.489598,3.2599763797695654e+17,3461852154.84782,1.1984420342024493e+19,524.759042189409,275372.05235954595,17233689136.8003,2.970000412638687e+20,135364659.386753,1.8323591010891656e+16,495850.579065593,245867796759.6839
stress-ng --cpu 1 --cpu-method int128 --timeout 10s,8.525,191504930.521086,3.6674138413885976e+16,191420217.795697,3.664169978095207e+16,27349.8870392777,748016321.0612502,181.391515897785,32902.88203969639,35.8095219832266,1282.3218646671894,5.45399193268014,29.746028001740044,0.0,0.0,158460862.450958,2.5109844928701436e+16,76.6712916856159,5878.486968740794,158384422.810158,2.5085625388906904e+16,62.3982735975802,3893.544547958474,96.5648239942047,9324.765233031732,48017880.2791801,2305716826505673.5,49734.2829568195,2473498901.2289867,4151.08506231277,17231507.194556214,5.06755311938709,25.680094617809825,39857648.8320838,1588632170421711.0,41512.7384806432,1723307456.1622748,3456419798.28923,1.194683782200576e+19,874.483469567841,764721.338547409,2329.1942969498,5425146.072943473,2861638799.06576,8.188976616318525e+18,8918058927.05547,7.953177502643375e+19,158475488.541565,2.51144804684877e+16,3469029619.51743,1.2034166501089243e+19,422.331706448247,178364.07027148828,20771277753.4197,4.3144597950970816e+20,207197.690424283,42930882917.15702,515008.800912567,265234065017.4001
stress-ng --cpu 1 --cpu-method int64 --timeout 10s,8.425,2068261.86626828,4277707147459.5483,2031055.82036178,4125187745425.4634,30390.9515368894,923609935.3175601,199.195412819186,39678.812488205935,32.1967389047723,1036.6299961020784,5.86269150825866,34.371151721008204,4.07672257101329,16.61966692100921,1727958.41772671,2985840293392.595,80.9717783856083,6556.4288949280635,1690810.81603513,2858841215621.3823,61.9191981021705,3833.9870936158345,167.232614106367,27966.74722084906,103355726.781553,1.0682406258543032e+16,104464.705043418,10912874599.808321,4062.1132551371,16500764.097560529,4.76815360702381,22.73528882017417,124727401.106709,1.5556924586833874e+16,125753.775645679,15814012089.143766,3471387637.7806,1.2050532131735974e+19,914.334508738176,836007.5938694817,2464.90795650334,6075771.234033471,2874041361.64459,8.260113748443889e+18,8700813050.04079,7.570414773176012e+19,1691645.00891164,2861662836175.662,3466491313.37675,1.2016562025716466e+19,512.180738265753,262329.10865045176,17253667801.7618,2.9768905261355185e+20,212615.511276132,45205355635.211006,543177.777232263,295042097678.98193
stress-ng --cpu 1 --cpu-method int32 --timeout 10s,8.445,1910097.94142595,3648474145839.652,1743261.40324236,3038960320034.5225,24409.7302222373,595834929.522405,176.586998135548,31182.96791052403,18.7531484097456,351.6805752779439,4.86368089666505,23.655391864584548,1.39122081890331,1.9354953669499964,1600738.5386718,2562363869189.1294,77.8450111322709,6059.84575818338,1455945.6476817,2119777729003.2852,62.7520409492531,3937.8186432967377,457.498917842326,209305.2598268994,108598429.776224,1.1793618949861456e+16,109739.205417571,12042693205.679846,4827.72002217626,23306880.612521544,2.57728637955704,6.642405082250235,108536515.291555,1.1780175151633952e+16,109611.91315906,12014771506.38931,3469255094.70371,1.2035730912127648e+19,891.701315492938,795131.236051836,2487.9169900696,6189730.949476979,2872315086.08454,8.250193953748837e+18,8814561550.57952,7.769649532895483e+19,1451643.77538299,2107269650608.1807,3459761788.38842,1.1969951632392638e+19,550.944208535391,303539.5209186884,17191021854.3939,2.955312323982488e+20,206070.253451161,42464949357.425735,512266.625828814,262417095938.03812
stress-ng --cpu 1 --cpu-method int16 --timeout 10s,8.225,1153870.72793365,1331417656782.131,1010651.82472016,1021417110810.189,23920.2652882883,572179091.4620903,105.637092250379,11159.195259115082,48.9446969490451,2395.583359433865,33.728555984651,1137.615488809737,0.298498661977448,0.08910145120232676,1154947.14170383,1333902900129.847,76.5596558105986,5861.380897837324,1011683.72507557,1023503959582.7816,63.3542527464727,4013.761341063944,150.921087691638,22777.174710027088,107019619.539848,1.1453198966453816e+16,108122.289889956,11690429571.04768,4352.89165663782,18947665.774427146,4.46882250075779,19.97037454327911,106740533.923758,1.1393541582328932e+16,108036.625263599,11671912398.347317,3472764819.54224,1.2060095491850248e+19,929.08216409652,863193.667642273,2471.50594856181,6108341.653776412,2875293918.29058,8.267315116558796e+18,7432091933.42683,5.5235990506908164e+19,1010188.9346715,1020481683732.7401,3469872519.63637,1.2040015302527652e+19,432.957118569533,187451.86652003266,17223432732.0915,2.966466350768808e+20,207984.346741979,43257488489.68775,515903.768141238,266156697982.32828
stress-ng --cpu 1 --cpu-method int8 --timeout 10s,8.415,1778378.88840452,3162631470722.896,1628811.73571444,2653027670401.087,27252.835175715,742717025.1146889,127.967016837097,16375.557398185869,45.8407776739239,2101.37689775012,26.2567691549568,689.4179264566908,3.08350342312751,9.507993360439071,1781459.05140871,3173596351846.0205,79.7028530739203,6352.544788122926,1631806.60793489,2662792805699.972,61.934887817959,3835.9303290231665,139.443826969927,19444.580880018937,113336603.840819,1.2845185770170748e+16,114537.304973429,13118794230.576283,4784.06024404891,22887232.418689318,4.47049404931127,19.985317044927477,113287481.29746,1.283405341872235e+16,114434.581499718,13095273443.0156,3471943437.52976,1.2054391233405966e+19,927.223550612264,859743.5128100137,2701.27056482926,7296862.664412989,2874764388.95933,8.264270292028711e+18,7986333813.1819,6.378152777557255e+19,1628621.77443372,2652408884159.6387,3467220807.62744,1.2021620128844677e+19,518.068019427028,268394.4727530435,17239156175.4444,2.9718850564136285e+20,205286.150043047,42142403399.49641,526366.106456359,277061278026.0271
stress-ng --cpu 1 --cpu-method int128float --timeout 10s,9.915,926731621.306283,8.588314979289719e+17,543243516.073216,2.9511351775559046e+17,51114.058658905,2612646992.5859814,177.119431247741,31371.292925523252,35.6324297652558,1269.6700509758875,2.67590235884188,7.160453434055538,2.38428707259661,5.684824844551312,928610797.867663,8.623180139164177e+17,79.2589837196601,6281.986500273344,544344823.903674,2.9631128731072186e+17,81.2844806088431,6607.166787849389,30289.2910878042,917441154.6017349,1057270817.78671,1.1178215821433786e+18,108632.284022991,11800973132.051786,5139.7597121274,26417129.898407936,3.67919568606512,13.536480896360187,1056637224.28076,1.1164822237357492e+18,65140.2381329133,4243250624.012652,3468321150.4641,1.2029251602756618e+19,973.534500276121,947769.4232278767,2650.84382397971,7026972.979131373,2871550185.60542,8.245800468450523e+18,11405284505.478,1.3008051465089656e+20,545101857.709036,2.971360352778421e+17,3470340765.90651,1.2043265031512582e+19,486.428187157854,236612.38126167623,17207151802.2874,2.960860731469625e+20,208443.951481467,43448880909.20817,525976.761295788,276651553423.20636
stress-ng --cpu 1 --cpu-method int128double --timeout 10s,9.695,1566177886.59057,2.4529131724453043e+18,801628342.293398,6.426079991680613e+17,82682.1444619373,6836337012.82467,207.446186143722,43033.92014557576,18.7342263418737,350.97123662855444,6.05110630020163,36.615887456339856,2.18498336541854,4.77415230715573,1565353857.07204,2.4503326978503127e+18,84.3659487099753,7117.613301734183,801206435.228147,6.41931751850995e+17,64.5133238171232,4161.968949932994,11775.2404024324,138656286.53507635,1047944053.62133,1.098186739520305e+18,217946.011485394,47500463922.391495,11410.264981434,130194146.94653904,5.56895104090827,31.013215696033303,1046035517.89525,1.0941903046983837e+18,240899.746787381,58032688002.22429,3468274572.46312,1.2028928509994238e+19,1086.65349161753,1180815.8108445695,2473.17454182056,6116592.314309337,2871539380.58608,8.245738414256688e+18,10271777863.5276,1.0550942047765561e+20,801245552.24939,6.4199443499943e+17,3460423282.60579,1.1974529294800232e+19,499.323757483867,249324.2147878076,17230268119.3251,2.968821394638309e+20,135332556.805378,1.831490093148086e+16,527812.626926524,278586169143.078
stress-ng --cpu 1 --cpu-method int128longdouble --timeout 10s,9.595,1228407268.6894,1.5089844177689516e+18,537103579.309843,2.8848025490744474e+17,78442.8831266953,6153285913.228379,221.02795038581,48853.35485175208,31.7093219703043,1005.4810998164229,8.94757413911104,80.05908297488868,3.9781178592287,15.825421701914333,1226987474.94997,1.5054982636841032e+18,240.883605214936,58024.91126134515,536482623.151431,2.8781360494344035e+17,113.748055567462,12938.620145378423,97589.4991556415,9523710345.448954,1083213192.26981,1.1733508199073523e+18,9481550.5662126,89899801139646.48,21986.4872452748,483405621.3866314,6.26412580537556,39.239272105572006,1081848366.94626,1.1703958890642895e+18,9666996.06004508,93450812824927.11,3468697265.63259,1.2031860720607005e+19,1000.54501681606,1001090.3306754497,2529.24537058566,6397082.144628993,2871947864.45327,8.248084536137698e+18,7056338868.69229,4.979191822981759e+19,536782897.157822,2.8813587868114493e+17,3465017432.51606,1.2006345807640187e+19,535.893860552592,287182.22977796086,17170934047.5146,2.9484097606409614e+20,1885441392.26425,3.5548892436633533e+18,1212430542.70088,1.4699878208739505e+18
stress-ng --cpu 1 --cpu-method int64float --timeout 10s,9.525,969184299.068068,9.393182055600623e+17,521856986.38298,2.7233471423672576e+17,38054.6820025514,1448158822.3153095,199.202339976345,39681.57225205134,13.2171635957662,174.6934135172473,12.9291107609364,167.16190506856142,1.79053764744504,3.2060250669180186,848091185.805268,7.192586594405857e+17,81.4648383489051,6636.51988721324,456654967.080503,2.0853375895929526e+17,59.8290333417332,3579.513230606223,408.42829201059,166813.66971468777,1073260900.02059,1.1518889595130067e+18,34896.2633914028,1217749198.6821592,6541.0107220385,42784821.26582262,5.86997950579205,34.45665939841868,1076371438.46866,1.1585754735510925e+18,34784.8404212716,1209985123.1333303,3464269379.93341,1.2001162336744215e+19,935.352044002844,874883.4462202982,2620.0358863405,6864588.045712049,2866822141.17869,8.218669189152369e+18,7351039146.32605,5.4037776530818015e+19,455667191.637185,2.0763258953451907e+17,3460366980.58128,1.1974139640297206e+19,468.386590798131,219385.99843949583,17222290731.5721,2.9660729804279434e+20,211596.192885119,44772948843.47649,542272.68879764,294059669015.82214
stress-ng --cpu 1 --cpu-method int64double --timeout 10s,9.57,1882638572.69285,3.544327995390972e+18,938368660.583777,8.805357431657916e+17,71035.3975241332,5046027701.411629,100.912758829978,10183.384894677303,28.7041454093846,823.9279636830951,23.3552788978128,545.4690523946198,0.795231949777746,0.6323938539473156,1562822832.95725,2.442415207212525e+18,97.9122912004744,9586.816768126497,778963620.81335,6.067843225506445e+17,66.2577995623195,4390.096002840507,8131.8707563578,66127321.99810718,1074530321.0836,1.1546154109280246e+18,138881.60282031,19288099601.938343,11287.7632699235,127413599.63783407,3.27537270597338,10.728066363035383,1070557268.80575,1.1460928657928269e+18,312681.911811044,97769977973.80948,3469454687.56243,1.2037115829048918e+19,928.637976255985,862368.4909448114,2599.43302620098,6757052.0577043835,2872384309.07335,8.250591619010786e+18,8671918410.09923,7.520216891141795e+19,778325802.888391,6.057910554418586e+17,3468565377.17028,1.2030945775704406e+19,471.751230548907,222549.223524408,20755776622.2907,4.308022631944291e+20,244364581.379765,5.971404863290779e+16,524671.89492787,275280597327.2019
stress-ng --cpu 1 --cpu-method int64longdouble --timeout 10s,9.55,1229472903.07022,1.5116036193839145e+18,535099882.819456,2.8633188459339552e+17,73264.4639190815,5367681673.350396,194.297917969601,37751.6809273218,54.4624223969506,2966.1554533438666,5.36467314771265,28.77971798178915,1.69017492817728,2.8566912878390736,1233195466.8865,1.5207710595494124e+18,257.73092547327,66425.22994530827,536719613.52992,2.8806794354770666e+17,109.481593062217,11986.219219440882,15291.1120120943,233818106.5664146,1088363821.42927,1.184535807796124e+18,9673063.49062587,93568157293679.12,16349.6957988951,267312552.71640807,-0.301494200123373,-0.301494200123373,1229759474.05891,1.5123083640376466e+18,10880461.0816382,118384433349043.52,3466845681.12519,1.201901897673638e+19,1019.36985976222,1039114.9109916481,2518.55149313185,6343101.62355667,2870321378.67984,8.238744816906538e+18,6921252154.98271,4.79037313928528e+19,536709921.489268,2.8805753982501622e+17,3469523732.70568,1.2037594931807955e+19,525.906614996837,276577.7676974313,17174783002.5805,2.9497317118572803e+20,1818519122.20636,3.3070117978301906e+18,1280056856.38645,1.6385455555819607e+18
stress-ng --cpu 1 --cpu-method int32float --timeout 10s,9.505,1033505656.32944,1.0681339416649466e+18,556490658.844916,3.0968185338164864e+17,38628.4144665533,1492154404.1998243,92.0649313245611,8475.951579796152,43.8537931123537,1923.1551703411208,30.1373476696503,908.2597245613764,0.397887412711415,0.15831439319418386,1031374735.87201,1.0637338457950584e+18,84.3537128489484,7115.548871402843,555342868.097005,3.084057011462075e+17,65.0350431586503,4229.556838647507,2613.65226875457,6831178.18196591,1303894221.69608,1.7001401413724262e+18,44602.0898297664,1989346417.1825516,6083.45971777083,37008482.13774035,-0.101200258607932,-0.101200258607932,1309767450.86771,1.7154907753524995e+18,55085.7265162455,3034437265.8225927,3465021136.73182,1.2006371477998275e+19,1061.45759799974,1126692.2323513778,2628.56405062857,6909348.968256875,2975098309.72676,8.851209952539023e+18,7133310342.04858,5.088411643597723e+19,460492467.767345,2.120533128704593e+17,3468610318.93869,1.2031257544647963e+19,491.854474597001,241920.8241810919,17198307852.9153,2.95781793003648e+20,209735.26516103,43988881452.167564,528933.678815235,279770836585.0182
stress-ng --cpu 1 --cpu-method int32double --timeout 10s,9.54,1560299174.62811,2.434533514345161e+18,777705722.215415,6.048261903666002e+17,84242.3128246389,7096767270.044319,118.084353760935,13943.914603137644,35.4856245539451,1259.2295499835514,20.5822142139317,423.6275419481721,0.994472306012942,0.9889751674266986,1562370281.77856,2.4410008973848166e+18,117.970860768923,13917.123990560616,778738281.228532,6.064333106507681e+17,71.3290676312424,5087.835889142351,27249.4161227697,742530679.0318613,1068404500.49437,1.1414881766766243e+18,337009.876066386,113575656566.28085,12671.1120050373,160557079.44420037,3.87463328214828,15.012783071131153,1071910407.42058,1.1489919215365539e+18,278943.61319435,77809539341.91914,3462726090.78531,1.1990471979805313e+19,1014.44313153874,1029094.8671261253,2449.92582484308,6002136.547233047,3459984610.77484,1.1971493506798721e+19,10311811554.5984,1.0633345753754907e+20,939422152.941716,8.825139814376488e+17,3463760120.67711,1.1997634173593108e+19,499.716350647487,249716.43110444216,17188555643.4682,2.9544644510860254e+20,135013376.98117,1.8228611963859524e+16,510656.153344093,260769706948.18582
stress-ng --cpu 1 --cpu-method int32longdouble --timeout 10s,9.66,1451645843.58625,2.1072756552012357e+18,631792752.40298,3.991620819889332e+17,83766.3443236826,7016800441.353752,220.28714839526,48526.427748115304,20.6250625890264,425.3932068012563,9.92585998766996,98.52269649482749,3.67513583670051,13.506623418200356,1488516562.66557,2.215681557329724e+18,208.985965765156,43675.13388679496,647839409.875687,4.196959009880784e+17,86.0654027695478,7407.253553884487,50055.6238810551,2505565482.1216536,1089232090.41541,1.186426546790724e+18,9444380.3655643,89196320489456.45,23093.029718048,533288021.55864817,4.56774258694132,20.864272340557385,1093273420.42347,1.1952467718044334e+18,9469052.05802608,89662946877607.92,3463018731.45673,1.1992498734420179e+19,980.140574600831,960675.5459788471,2671.70265771261,7137995.091228623,3460460856.27424,1.1974789337806246e+19,6900393571.4069,4.761543144031368e+19,536114045.039663,2.8741826928878982e+17,3467873266.78442,1.2026144994478045e+19,527.468508467986,278223.02742544183,17176258259.3164,2.9502384779073487e+20,1886026349.29016,3.5570953902167685e+18,1280171449.42988,1.6388389399353997e+18
stress-ng --cpu 1 --cpu-method intconversion --timeout 10s,7.605,117557.311604669,13819721511.717243,79866.3296605381,6378630613.445748,29089.1355803758,846177808.8134854,210.94897522911,44499.470150211666,8.13594901330833,66.1936663471528,9.94042324777048,98.81201434481584,2.8837605992617,8.316075193854198,117902.308120425,13900954260.123636,85.316905669603,7278.974393035937,80256.5458446014,6441113150.906606,62.9940529672139,3968.2507092361498,309.722716718132,95928.16125126024,76871965.852453,5909299134020699.0,3809.44112436633,14511841.680013407,4958.52686814795,24586988.70214512,-0.200505368857571,-0.200505368857571,88990387.3086418,7919289033342077.0,3977.42218659008,15819887.250379013,3461726375.71068,1.1983549500291e+19,1014.09427538588,1028387.199370413,2531.30161749345,6407487.878724957,3458823775.41473,1.1963461909374208e+19,4386435516.43727,1.9240816539862303e+19,80500.5380459326,6480336625.684642,3472911018.552,1.206111094277989e+19,482.720852138988,233019.4210897907,18169140128.5674,3.3011765301151826e+20,208521.621418484,43481266598.99356,517906.283550268,268226918540.8506
