"command","watt-median","L1-dcache-loads:u","L1-dcache-loads:u-square","L1-dcache-stores:u","L1-dcache-stores:u-square","L1-icache-load-misses:u","L1-icache-load-misses:u-square","LLC-loads:u","LLC-loads:u-square","LLC-load-misses:u","LLC-load-misses:u-square","LLC-stores:u","LLC-stores:u-square","LLC-store-misses:u","LLC-store-misses:u-square","dTLB-loads:u","dTLB-loads:u-square","dTLB-load-misses:u","dTLB-load-misses:u-square","dTLB-stores:u","dTLB-stores:u-square","dTLB-store-misses:u","dTLB-store-misses:u-square","iTLB-load-misses:u","iTLB-load-misses:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","branch-load-misses:u-square","L1-dcache-load-misses:u","L1-dcache-load-misses:u-square","node-loads:u","node-loads:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","branch-misses:u-square","bus-cycles:u","bus-cycles:u-square","cache-misses:u","cache-misses:u-square","cache-references:u","cache-references:u-square","cpu-cycles:u","cpu-cycles:u-square","instructions:u","instructions:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","ref-cycles:u-square","mem-loads-aux:u","mem-loads-aux:u-square","slots:u","slots:u-square","topdown-br-mispredict:u","topdown-br-mispredict:u-square","topdown-fetch-lat:u","topdown-fetch-lat:u-square"
"sleep 10s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sum_up_benchmark",11.415,1902017240.10805,"3.617669581668244e+18",759155490.260695,"5.7631705839295616e+17",2809673.65861174,7894266067896.68,774092.241704028,599218798666.367,9429.85774920106,88922217.1701673,1021013.83819967,1042469257795.22,29632.7474040872,878099718.714437,1920626160.55948,"3.6888048486254495e+18",146350.55962341,21418486302.0853,766578119.638206,"5.876420135080476e+17",211483.675442359,44725344978.609,109381.308268793,11964270598.5927,2430663225.65743,"5.908123716563383e+18",16328427.4222474,266617542083601,7010385.51223173,49145505030108.5,482.710655398453,233009.576835204,2382488333.60417,"5.676250659759974e+18",15942145.7385711,254152010749841,3143643937.48945,"9.882497205714172e+18",1064359.83184801,1132861851651.52,23190252.0061423,537787788108387,3098193380.76782,"9.598802224633532e+18",11006789198.2768,"1.2114940845530284e+20",909366006.417931,"8.269465336284965e+17",3134993451.98879,"9.82818394401259e+18",84669.3128284221,7168892534.8372,16851332437.459,"2.8396740491775787e+20",2316390249.37924,"5.365663787419218e+18",1483551481.55592,"2.2009249984267648e+18"
"stress-ng --cpu 1 --cpu-method all --timeout 10s",9.81,999371659.178709,"9.987437131696058e+17",450514867.610949,"2.0296364593851088e+17",9739194.49208883,94851909354733.4,4904.54475811002,24054559.2843045,82.1508929063621,6748.76920531258,74704.1062734073,5580703494.10853,67.205312458345,4516.55402262378,1001719717.5731,"1.0034423925747311e+18",610.020386318052,372124.871723625,451567430.606465,"2.0391314438452458e+17",445.960164206214,198880.468058833,33895.8245782252,1148926923.83782,831462527.474218,"6.913299345938148e+17",12173349.4775528,148190437502635,64748824.4173323,4.19241026342653E+015,7.04703287895017,49.6606723970047,834075650.430514,"6.956821906410849e+17",12145093.4359854,147503294568816,3465308152.58008,"1.2008360592337967e+19",2375.00976525514,5640671.38505727,533363.488053257,284476610388.337,3456443579.82158,"1.1947002220489818e+19",7607541582.57032,"5.787468893053653e+19",452457782.191367,"2.0471804466553046e+17",3468530315.87654,"1.2030702552154612e+19",2732439.84598047,7466227511901.78,20717570764.0899,"4.292177383650726e+20",1787447327.24331,"3.1949679476692526e+18",1300328011.47366,"1.6908529374230428e+18"
"stress-ng --cpu 1 --cpu-method ackermann --timeout 10s",9.535,1340749777.70635,"1.7976099664196273e+18",1340696876.64819,"1.797468115054212e+18",26246.1116861365,688858378.641151,88.8739200566596,7898.57366623752,13.7122057753788,188.024587226332,24.9632456265814,623.163632213035,3.08345472249057,9.5076930256494,1340953909.17723,"1.7981573865376945e+18",80.865824710471,6539.28160610462,1340901078.65979,"1.7980157027509885e+18",64.698174505382,4185.85378432886,88.9157021150716,7906.00208261615,4268624481.12842,"1.822115496088887e+19",7516859.32813596,56503174158984.6,9057.11275865917,82031291.5230667,-0.797619359252862,-0.797619359252862,3774870969.52742,"1.4249650836580884e+19",6593654.09657831,43476274345323.9,3471078645.12835,"1.204838696066606e+19",1053.55328543817,1109974.52525756,2610.47094995736,6814558.58057128,2874015584.13453,"8.259965577848144e+18",13189178963.7655,"1.7395444173823436e+20",1341063760.36964,"1.7984520093767596e+18",3465343767.22379,"1.200860742503677e+19",509.690634842117,259784.54324576,20804300282.8758,"4.328189102600661e+20",652835429.25916,"4.2619409769599174e+17",571569911.438686,"3.266921636620274e+17"
"stress-ng --cpu 1 --cpu-method apery --timeout 10s",8.59,462420706.937085,"2.1383291020419344e+17",462333873.771598,"2.137526108366519e+17",24703.9237094352,610283846.641595,98.0617419545487,9616.1052351605,37.3586985736637,1395.67235911786,23.1102354689664,534.082983431073,0.694597354953575,0.482465485508503,461435599.538465,"2.1292281252142266e+17",78.0464742760831,6091.2521469273,461348738.889184,"2.1284265887464048e+17",64.146326681664,4114.75122675076,277.392659363789,76946.6874689151,924854716.442451,"8.553562465258464e+17",12068.4927496332,145648517.247949,4082.67025432224,16668196.4055276,3.07697052902033,9.46774763645965,922040803.940713,"8.501592441316365e+17",12308.3782745283,151496175.74888,3469092589.95035,"1.2034603397648425e+19",1004.10840669838,1008233.69240236,2532.10782471239,6411570.03596971,2872220439.08575,"8.249650250701939e+18",10559345637.7852,"1.1149978029821333e+20",555836403.27756,"3.0895410720853434e+17",3463458466.16791,"1.1995544546870172e+19",461.16288282378,212671.204494339,17248373532.9851,"2.975063895333809e+20",215501.468830258,46440883067.9987,506212.377923326,256250971562.788
"stress-ng --cpu 1 --cpu-method bitops --timeout 10s",8.435,176145.840220474,31027357026.9768,97167.1137361255,9441447991.80915,25483.3204222939,649399619.745301,189.233642384502,35809.3714101056,19.7219971239771,388.957170558161,3.36855055729334,11.3471328570413,1.98604062370887,3.94435735902192,176083.551135384,31005416980.4474,80.6773967658348,6508.84234891193,97105.984652513,9429572255.33409,64.0094477445324,4097.20940056002,378.654119704771,143378.942369395,1919027279.93943,"3.6826657011517276e+18",98204.4304726028,9644110164.44828,5689.40021531671,32369274.8100458,3.87613550785589,15.0244264752612,1920899317.80261,"3.689854189134532e+18",105422.54538733,11113913075.9437,3469316598.77621,"1.2036157662544128e+19",918.18757020537,843068.414079641,2509.49348754593,6297557.56403543,2872338515.21742,"8.250328546001413e+18",14656786803.1793,"2.148213993938509e+20",97602.0227905593,9526154852.80886,3460885392.20997,"1.1977727698012359e+19",504.66425703239,254686.012326054,17230810521.4894,"2.9690083122746976e+20",210315.168120114,44232469941.3918,521691.508377125,272162029912.8
"stress-ng --cpu 1 --cpu-method callfunc --timeout 10s",9.105,1394248323.09356,"1.943928386449204e+18",940607909.658062,"8.847432397113089e+17",26492.020072198,701827127.505742,130.494638034765,17028.8505558243,39.2181596206453,1538.06404403041,30.3605534796012,921.763207587725,0.696809941573833,0.485544094676129,1683041098.45478,"2.832627339087873e+18",81.0830287568924,6574.45755239104,1135438919.92526,"1.2892215408810412e+18",62.0264484496204,3847.28030727342,114.574308951845,13127.2722717928,2922540607.83221,"8.541243604428263e+18",3455383.91647264,11939678010217.8,8679.50100754079,75333737.7399016,-0.598410206068074,-0.598410206068074,3540829927.47867,"1.2537476575328604e+19",4197421.59630288,17618348057109.8,3465029067.87389,"1.2006426441210999e+19",996.318990745638,992651.531320407,2637.04762862478,6954020.19563558,2868735375.26597,"8.229642653302387e+18",10274768712.4567,"1.055708720944791e+20",1135332908.35524,"1.288980812794368e+18",3469837605.61476,"1.203977300933837e+19",474.803275849778,225438.15075768,17218663803.0666,"2.96482383163036e+20",472832902.945364,"2.2357095410774e+17",203038448.788222,"4.122461168632744e+16"
"stress-ng --cpu 1 --cpu-method cdouble --timeout 10s",10.69,2712739017.94511,"7.358952979481799e+18",1192631679.89727,"1.4223703238945843e+18",82730.9213086872,6844405340.58419,223.15139401831,49796.544652315,20.1772569920876,407.121699724748,6.46244849761964,41.7632405843863,3.18289783113927,10.1308386034711,2714497881.24983,"7.368498747309815e+18",83.9179131655711,7042.21615006433,1193429548.09323,"1.4242740862620111e+18",61.9953074357083,3843.41814404799,191.146843569976,36537.1158067649,1712179127.89214,"2.9315573659894886e+18",7342886.53438742,53917982656888.1,14357.1714583512,206128372.284494,0.992138516531515,0.984338835985355,1710696484.79583,"2.926482463092809e+18",7358992.17809229,54154765877223.5,3470940646.74431,"1.2047428973221808e+19",962.44930365193,926308.662100085,2613.52534441551,6830514.72590221,2873696690.34431,"8.25813266809584e+18",11137607283.9238,"1.2404629601091248e+20",1194497291.1262,"1.4268237785078298e+18",3470231353.97117,"1.204250565008458e+19",527.405970341504,278157.057551863,20765103598.523,"4.311895274573928e+20",1954404712.39117,"3.819697779816812e+18",244757766.595428,"5.990636430878201e+16"
"stress-ng --cpu 1 --cpu-method cfloat --timeout 10s",9.27,919761239.915638,"8.459607384511517e+17",504628949.786123,"2.5465037696224544e+17",48641.1311065868,2365959635.32817,207.847065435637,43200.402610206,38.4407151919227,1477.68858446652,10.0339232754115,100.679616296845,1.19273612647205,1.42261946739155,919242100.875096,"8.450060400212602e+17",87.6234048798658,7677.86108274089,504378786.81005,"2.543979605839779e+17",67.679019414437,4580.44966889974,10467.5707788858,109570038.010984,629632188.114844,"3.964366923102863e+17",3272854.13724899,10711574203707.8,6029.95362931693,36360340.7717124,3.8747943045584,15.0140309026382,631815394.844602,"3.991906931626403e+17",3299464.21166313,10886464084045.8,3464053220.02596,"1.199966471117222e+19",982.521827410815,965349.141338687,2628.97259782195,6911496.92009869,3461361973.47426,"1.1981026711413623e+19",3823910923.5921,"1.462229475156699e+19",503722764.0542,"2.5373662302640323e+17",3464083989.32707,"1.199987788511215e+19",47615251.1507692,2.26721214215083E+015,17231220317.0757,"2.9691495361560235e+20",811000235.690497,"6.577213822900417e+17",1351819830.66255,"1.8274168545725253e+18"
"stress-ng --cpu 1 --cpu-method clongdouble --timeout 10s",9.53,1066080345.86217,"1.136527303833604e+18",504141479.50406,"2.5415863135654253e+17",115711.140613322,13389068062.036,206.396439777284,42599.490352738,15.80731590108,249.871235996537,4.17625555843439,17.4411104893541,2.38767833233648,5.70100781870911,1061277522.84782,"1.1263099805020052e+18",163.403559163476,26700.7231472916,501882471.955299,"2.518860156559615e+17",80.067742338948,6410.84336325617,234.732890637436,55099.5299470065,742305807.136775,"5.51017911308979e+17",1991781.55164686,3967193749480.77,16361.926843176,267712650.021443,4.26847538654191,18.2198821255141,745816366.315437,"5.5624205226396205e+17",2015230.75741027,4061155005612.37,3458720300.00181,"1.1962746113644612e+19",1192.64925578116,1422412.24731535,3156.98587099447,9966559.78965871,2863579110.71927,"8.200085323347766e+18",4943208729.84761,"2.4435312546841625e+19",501385948.18749,"2.5138786903986838e+17",3468136449.35981,"1.202797043137807e+19",555.891827910537,309015.724337718,17230017950.6879,"2.968735185810273e+20",675822451.164763,"4.567359854983484e+17",1757099404.10411,"3.0873983159030185e+18"
"stress-ng --cpu 1 --cpu-method collatz --timeout 10s",9.155,13065886.7360163,170717396198407,7580200.84445296,57459444842245.4,25961.7929713903,674014694.289331,190.752904615239,36386.6706191505,14.6105235098715,213.467397232508,10.9399613857658,119.682755122047,3.78011536660681,14.2892721848569,15734365.090794,247570244810397,81.2933465272256,6608.60818959558,9127636.11383656,83313741026613.4,61.9683811458634,3840.080261839,173.208100379659,30001.04603713,1753994411.09098,"3.076496394138394e+18",594480.948520992,353407598154.418,4090.05786406809,16728573.3314252,0.789667137041115,0.623574187322711,2109578185.34656,"4.450320120090085e+18",637484.246477586,406386164507.096,3469493160.14734,"1.2037382788309174e+19",1027.34543922774,1055438.65150204,2493.06837174112,6215389.90617592,3466812592.68535,"1.2018789552801718e+19",7720338213.73708,"5.960362213448904e+19",7562055.23874217,57184679433787.9,3461546895.19368,"1.1982306907625005e+19",528.259192904802,279057.774888433,17251548256.2057,"2.976159172361939e+20",67852739.8517069,4603994305383415,2571045029.7672,"6.610272545090622e+18"
"stress-ng --cpu 1 --cpu-method correlate --timeout 10s",9.16,1402432633.4609,"1.9668172913960753e+18",3233371.31196118,10454690041013.6,28156.6857634273,792798953.18039,153.627789143047,23601.4975969805,39.5210091407428,1561.91016350268,24.7377168607649,611.954635483372,1.68930622612465,2.85375552562351,1697395824.31955,"2.881152584417445e+18",80.0149726195442,6402.39584330641,3901730.55354568,15223501312471.9,70.0987520151574,4913.83503408253,143.655953271524,20637.0329103503,709299328.998998,"5.0310553811842886e+17",1592760.87251965,2536887197029.56,27773247.5022426,771353276820825,-0.701416205168133,-0.701416205168133,855547326.689766,"7.319612282060052e+17",1920495.0634654,3688301288794.97,3463349802.55809,"1.1994791854879162e+19",917.944387973978,842621.899412921,2512.08910133597,6310591.65305096,2867554281.97165,"8.222867560053946e+18",7845249043.05638,"6.154793254757705e+19",3241932.66103103,10510127378659.7,3468987852.91785,"1.2033876723691596e+19",489.308329394075,239422.641214421,17223668725.7199,"2.966547643733417e+20",270355640.30669,"7.309217224564034e+16",610650.479387411,372894007976.075
"stress-ng --cpu 1 --cpu-method crc16 --timeout 10s",8.305,90711146.7340845,8228512141812609,586207.997537954,343639816377.458,22905.696046699,524670911.383762,184.4814993202,34033.4235914289,17.182749128857,295.246867625236,9.84009341888713,96.8274384924258,1.78979621266914,3.2033704828848,90682442.4288751,8223305364866248,104.970492946514,11018.8043894341,585983.120560116,343376217581.371,63.6216774685369,4047.71784391054,320.224414463659,102543.675618593,91246617.7464467,8325945250166162,172820.082486372,29866780910.5964,5594.99804044101,31304003.0725387,3.17614704091121,10.087910025489,90961076.6817346,8273917471100403,171951.939932358,29567469646.5012,3469960158.5081,"1.2040623501633559e+19",1158.57487354789,1342295.73761651,2457.71876777282,6040381.54146275,3398577414.46065,"1.1550328442082036e+19",5963810092.86457,"3.5567030823753306e+19",586224.160636671,343658766514.169,3464408508.72375,"1.2002126315317518e+19",535.963398884337,287256.764943651,20337005344.6566,"4.1359378638859115e+20",212294.148432852,45068805458.8298,533701.706116784,284837511111.966
"stress-ng --cpu 1 --cpu-method dither --timeout 10s",10.69,1805923141.7443,"3.2613583938876027e+18",1570061876.80662,"2.465094297001526e+18",25669.8480064911,658941096.676355,445.578473719297,198540.176242018,57.2811228307304,3281.12703274922,947.349320409326,897470.734880012,26.3595422294006,694.825466543554,1808591111.92843,"3.271001810146515e+18",81.7151024484327,6677.35796815785,1572381485.18482,"2.47238353495202e+18",195.420129862955,38189.0271556542,408.391823115331,166783.881187464,1743360871.71148,"3.039307129014611e+18",389058.498757691,151366515455.588,48197958.9788368,2.32304324972563E+015,1.88803315334618,3.56466918813432,1734017127.17605,"3.0068153973398815e+18",349186.512599354,121931220581.299,3470688672.25306,"1.2045679859705709e+19",1128.74651693609,1274068.69949536,7802.86045401471,60884631.2648266,3450096487.12464,"1.1903165770469782e+19",11887861813.8536,"1.4132125850527859e+20",1581023414.45764,"2.4996350370632945e+18",3461397783.80106,"1.1981274617702892e+19",493.470445102011,243513.080189177,19837717010.1171,"3.935350161734893e+20",210308.512800944,44229670556.5448,522156.868126538,272647794931.715
"stress-ng --cpu 1 --cpu-method div8 --timeout 10s",7.5,178341.150250032,31805565872.5045,112517.187214037,12660117418.5587,25641.3977797087,657481280.09725,231.84018056788,53749.8693257472,19.5847736913933,383.563360543091,5.07093102157985,25.7143414256209,3.58120464895774,12.8250267377165,178912.502148752,32009683425.1272,81.1164812861829,6579.88353625166,113103.063575658,12792302990.1993,63.9382258184921,4088.09672081649,240.599590476036,57888.1629372362,480775444.299208,"2.3114502784110083e+17",2164268.53875032,4684058307824.45,4926.05419256456,24266009.9080829,2.88015789164317,8.29530948079443,480829122.735313,"2.311966452704107e+17",2171551.55619562,4715636161215.62,3461302707.73928,"1.1980616434603272e+19",872.780462953387,761745.736513129,2535.75194097926,6430037.90618008,2865792352.40865,"8.212765807123903e+18",3368532349.39818,"1.1347010188942023e+19",112506.466539011,12657705013.0936,3465528188.94223,"1.2009885628353214e+19",472.844685127042,223582.096252892,17247230439.354,"2.9746695782817917e+20",135467308.529561,"1.835139168024327e+16",203400228.500249,"4.13716529539535e+16"
"stress-ng --cpu 1 --cpu-method div16 --timeout 10s",8.455,193936.896273983,37611519736.3856,123135.949846938,15162462144.7076,24680.068019527,609105757.448479,243.31132766838,59200.4021717498,14.1067356021953,198.999989350244,0.19577853958101,0.0383292365604731,2.08855367316492,4.36205644569068,193701.100627486,37520116384.2995,80.9387258582706,6551.07734356028,122857.752124307,15094027257.0377,64.4500204359256,4153.80513419123,405.423303484681,164368.055008432,467856390.471438,"2.1888960210496266e+17",2088022.13326231,4359836428993.29,4328.86335673691,18739057.9612995,-0.201390711739406,-0.201390711739406,563814102.898735,"3.178863426275054e+17",2518576.30052912,6343226581586.95,3469196052.08192,"1.203532124778078e+19",976.443706073003,953442.311129581,2551.90803386675,6512234.61331366,3466331129.45959,"1.2015451499060597e+19",3360347120.16937,"1.1291932768030579e+19",112297.195276709,12610660067.0153,3468125581.75887,"1.2027895050850302e+19",536.531595664803,287866.15314662,20807150367.1251,"4.3293750640015416e+20",81795261.7843174,6690464850365015,6935597620.34377,"4.810251435131816e+19"
